2025-01-24 20:04:45.368 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 1, 'Charlie': 1}
2025-01-24 20:04:45.368 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-01-24 20:04:45.368 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-24 20:04:45.369 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 2, 'Charlie': 1}
2025-01-24 20:04:45.369 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-01-24 20:04:45.369 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-24 20:04:45.369 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 2, 'Charlie': 1, 'Diana': 1}
2025-01-24 20:04:45.369 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-24 20:04:45.370 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-24 20:04:45.370 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 3, 'Charlie': 1, 'Diana': 1}
2025-01-24 20:04:45.370 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-01-24 20:04:45.370 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-24 20:04:45.370 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 3, 'Charlie': 1, 'Diana': 2}
2025-01-24 20:04:45.371 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-24 20:04:45.371 | INFO     | __main__:process_message:95 - Message received from author: Eve
2025-01-24 20:04:45.371 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 2, 'Alice': 3, 'Charlie': 1, 'Diana': 2}
2025-01-24 20:04:45.371 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'JSON makes life easier.', 'author': 'Eve'}
2025-01-24 20:04:45.371 | INFO     | __main__:process_message:95 - Message received from author: Eve
2025-01-24 20:04:45.371 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 3, 'Charlie': 1, 'Diana': 2}
